1 1 1 , Epoch:12, Support: 437
5 5 5 3 3 3 3 5 5 3 , Epoch:19, Support: 6
5 5 5 3 3 3 3 5 5 5 , Epoch:19, Support: 6
5 5 5 3 3 3 5 3 3 3 , Epoch:19, Support: 6
5 5 5 3 3 3 5 3 3 5 , Epoch:19, Support: 6
5 5 5 3 3 3 5 3 5 3 , Epoch:19, Support: 6
5 5 5 3 3 3 5 3 5 5 , Epoch:19, Support: 6
5 5 5 3 3 3 5 5 3 3 , Epoch:19, Support: 6
5 5 5 3 3 3 5 5 3 5 , Epoch:19, Support: 6
5 5 5 3 3 3 5 5 5 3 , Epoch:19, Support: 6
5 5 5 3 3 3 5 5 5 5 , Epoch:19, Support: 6
5 5 5 3 3 5 3 3 3 3 , Epoch:19, Support: 6
5 5 5 3 3 5 3 3 3 5 , Epoch:19, Support: 6
5 5 5 3 3 5 3 3 5 3 , Epoch:19, Support: 6
5 5 5 3 3 5 3 3 5 5 , Epoch:19, Support: 6
5 5 5 3 3 5 3 5 3 3 , Epoch:19, Support: 6
5 5 5 3 3 5 3 5 3 5 , Epoch:19, Support: 6
5 5 5 3 3 5 3 5 5 3 , Epoch:19, Support: 6
5 5 5 3 3 5 3 5 5 5 , Epoch:19, Support: 6
5 5 5 3 3 5 5 3 3 3 , Epoch:19, Support: 6
5 5 5 3 3 5 5 3 3 5 , Epoch:19, Support: 6
5 5 5 3 3 5 5 3 5 3 , Epoch:19, Support: 6
5 5 5 3 3 5 5 3 5 5 , Epoch:19, Support: 6
5 5 5 3 3 5 5 5 3 3 , Epoch:19, Support: 6
5 5 5 3 3 5 5 5 5 5 , Epoch:19, Support: 6
5 5 5 3 5 3 3 3 3 3 , Epoch:19, Support: 6
5 5 5 3 5 3 3 3 3 5 , Epoch:19, Support: 6
5 5 5 3 5 3 3 3 5 3 , Epoch:19, Support: 6
5 5 5 3 5 3 3 3 5 5 , Epoch:19, Support: 6
5 5 5 3 5 3 3 5 3 3 , Epoch:19, Support: 6
5 5 5 3 5 3 3 5 3 5 , Epoch:19, Support: 6
5 5 5 3 5 3 3 5 5 3 , Epoch:19, Support: 6
5 5 5 3 5 3 3 5 5 5 , Epoch:19, Support: 6
5 5 5 3 5 3 5 3 3 3 , Epoch:19, Support: 6
5 5 5 3 5 3 5 3 3 5 , Epoch:19, Support: 6
5 5 5 3 5 3 5 3 5 3 , Epoch:19, Support: 6
5 5 5 3 5 3 5 3 5 5 , Epoch:19, Support: 6
5 5 5 3 5 3 5 5 3 3 , Epoch:19, Support: 6
5 5 5 3 5 3 5 5 3 5 , Epoch:19, Support: 6
5 5 5 3 5 3 5 5 5 3 , Epoch:19, Support: 6
5 5 5 3 5 3 5 5 5 5 , Epoch:19, Support: 6
5 5 5 3 5 5 3 3 3 3 , Epoch:19, Support: 6
5 5 5 3 5 5 3 3 3 5 , Epoch:19, Support: 6
5 5 5 3 5 5 3 3 5 3 , Epoch:19, Support: 6
5 5 5 3 5 5 3 3 5 5 , Epoch:19, Support: 6
5 5 5 3 5 5 3 5 3 3 , Epoch:19, Support: 6
5 5 5 3 5 5 3 5 3 5 , Epoch:19, Support: 6
5 5 5 3 5 5 3 5 5 3 , Epoch:19, Support: 6
5 5 5 3 5 5 3 5 5 5 , Epoch:19, Support: 6
5 5 5 3 5 5 5 3 3 3 , Epoch:19, Support: 6
5 5 5 3 5 5 5 3 3 5 , Epoch:19, Support: 6
5 5 5 3 5 5 5 3 5 3 , Epoch:19, Support: 6
5 5 5 3 5 5 5 3 5 5 , Epoch:19, Support: 6
5 5 5 3 5 5 5 5 5 5 , Epoch:19, Support: 6
5 5 5 5 3 3 3 3 3 3 , Epoch:19, Support: 7
5 5 5 5 3 3 3 3 3 5 , Epoch:19, Support: 6
5 5 5 5 3 3 3 3 5 3 , Epoch:19, Support: 6
5 5 5 5 3 3 3 3 5 5 , Epoch:19, Support: 6
5 5 5 5 3 3 3 5 3 3 , Epoch:19, Support: 6
5 5 5 5 3 3 3 5 3 5 , Epoch:19, Support: 6
5 5 5 5 3 3 3 5 5 3 , Epoch:19, Support: 6
5 5 5 5 3 3 3 5 5 5 , Epoch:19, Support: 6
5 5 5 5 3 3 5 3 3 3 , Epoch:19, Support: 6
5 5 5 5 3 3 5 3 3 5 , Epoch:19, Support: 6
5 5 5 5 3 3 5 3 5 3 , Epoch:19, Support: 6
5 5 5 5 3 3 5 3 5 5 , Epoch:19, Support: 6
5 5 5 5 3 3 5 5 3 3 , Epoch:19, Support: 6
5 5 5 5 3 3 5 5 3 5 , Epoch:19, Support: 6
5 5 5 5 3 3 5 5 5 3 , Epoch:19, Support: 6
5 5 5 5 3 3 5 5 5 5 , Epoch:19, Support: 6
5 5 5 5 3 5 3 3 3 3 , Epoch:19, Support: 6
5 5 5 5 3 5 3 3 3 5 , Epoch:19, Support: 6
5 5 5 5 3 5 3 3 5 3 , Epoch:19, Support: 6
5 5 5 5 3 5 3 3 5 5 , Epoch:19, Support: 6
5 5 5 5 3 5 3 5 3 3 , Epoch:19, Support: 6
5 5 5 5 3 5 3 5 3 5 , Epoch:19, Support: 6
